ID;PLIK_ORYGINALNY;PLIK_W_CZYTELNI;GRUPA;WARSTWA;UWAGA
PDF_001;Dokumenty Baczyńscy _191-286.pdf;PDF/Dokumenty Baczyńscy _191-286.pdf;Dokumenty;01_P / dokumenty;podłączone w lokalnej czytelni PDF
PDF_002;Dyplomy cz.2.pdf;PDF/Dyplomy cz.2.pdf;Dyplomy;01_P / dyplomy;podłączone w lokalnej czytelni PDF
PDF_003;Dyplomy do🪦.pdf;PDF/Dyplomy do🪦.pdf;Dyplomy;01_P / dyplomy;podłączone w lokalnej czytelni PDF
PDF_004;GW_1978_Wyd.AB_0039.pdf;PDF/GW_1978_Wyd.AB_0039.pdf;Prasa;01_P / prasa;podłączone w lokalnej czytelni PDF
PDF_005;kwi 19 Dokument 35.pdf;PDF/kwi 19 Dokument 35.pdf;Dokumenty;01_P / dokumenty;podłączone w lokalnej czytelni PDF
PDF_006;kwi_19_Dokument_250_50-94.pdf;PDF/kwi_19_Dokument_250_50-94.pdf;Dokumenty;01_P / dokumenty;podłączone w lokalnej czytelni PDF
PDF_007;Profile of Family Baczyńs_50-99.pdf;PDF/Profile of Family Baczyńs_50-99.pdf;Profile rodzinne;01_P / profile rodzinne;podłączone w lokalnej czytelni PDF
PDF_008;Profile_of_Family_Baczyńs_1-49-1.pdf;PDF/Profile_of_Family_Baczyńs_1-49-1.pdf;Profile rodzinne;01_P / profile rodzinne;podłączone w lokalnej czytelni PDF
PDF_009;Profile_of_Family_Baczyńs_50-99-1.pdf;PDF/Profile_of_Family_Baczyńs_50-99-1.pdf;Profile rodzinne;01_P / profile rodzinne;podłączone w lokalnej czytelni PDF
PDF_010;split_Dokumenty_Baczyńscy_-2_1-49.pdf;PDF/split_Dokumenty_Baczyńscy_-2_1-49.pdf;Dokumenty;01_P / dokumenty;podłączone w lokalnej czytelni PDF
PDF_011;split_Dokumenty_Baczyńscy_-2_50-99.pdf;PDF/split_Dokumenty_Baczyńscy_-2_50-99.pdf;Dokumenty;01_P / dokumenty;podłączone w lokalnej czytelni PDF
PDF_012;split_Dokumenty_Baczyńscy_-2_100-149.pdf;PDF/split_Dokumenty_Baczyńscy_-2_100-149.pdf;Dokumenty;01_P / dokumenty;podłączone w lokalnej czytelni PDF
PDF_013;split_Dokumenty_Baczyńscy_-2_150-199.pdf;PDF/split_Dokumenty_Baczyńscy_-2_150-199.pdf;Dokumenty;01_P / dokumenty;podłączone w lokalnej czytelni PDF
PDF_014;split_Dokumenty_Baczyńscy_-2_200-249.pdf;PDF/split_Dokumenty_Baczyńscy_-2_200-249.pdf;Dokumenty;01_P / dokumenty;podłączone w lokalnej czytelni PDF
PDF_015;split_Dokumenty_Baczyńscy_-2_250-286.pdf;PDF/split_Dokumenty_Baczyńscy_-2_250-286.pdf;Dokumenty;01_P / dokumenty;podłączone w lokalnej czytelni PDF
PDF_016;Zdjecia$asFamily)Baczynski_1-49.pdf;PDF/Zdjecia$asFamily)Baczynski_1-49.pdf;Zdjęcia i ikonografia;01_P / ikonografia;podłączone w lokalnej czytelni PDF
PDF_017;Zdjęcia_Ród_Baczński_SaS_50-99-2.pdf;PDF/Zdjęcia_Ród_Baczński_SaS_50-99-2.pdf;Zdjęcia i ikonografia;01_P / ikonografia;podłączone w lokalnej czytelni PDF
PDF_018;Zdjęcia_Ród_Baczński_SaS_100-149-2.pdf;PDF/Zdjęcia_Ród_Baczński_SaS_100-149-2.pdf;Zdjęcia i ikonografia;01_P / ikonografia;podłączone w lokalnej czytelni PDF
PDF_019;Zdjęcia_Ród_Baczński_SaS_150-199-2.pdf;PDF/Zdjęcia_Ród_Baczński_SaS_150-199-2.pdf;Zdjęcia i ikonografia;01_P / ikonografia;podłączone w lokalnej czytelni PDF
PDF_020;Zdjęcia_Ród_Baczński_SaS_250-299-2.pdf;PDF/Zdjęcia_Ród_Baczński_SaS_250-299-2.pdf;Zdjęcia i ikonografia;01_P / ikonografia;podłączone w lokalnej czytelni PDF
PDF_021;Zdjęcia_Ród_Baczński_SaS_300-349-2.pdf;PDF/Zdjęcia_Ród_Baczński_SaS_300-349-2.pdf;Zdjęcia i ikonografia;01_P / ikonografia;podłączone w lokalnej czytelni PDF
PDF_022;Zdjęcia_Ród_Baczński_SaS_50-99-2.pdf;PDF/Zdjęcia_Ród_Baczński_SaS_50-99-2.pdf;Zdjęcia i ikonografia;01_P / ikonografia;podłączone w lokalnej czytelni PDF
PDF_023;Zdjęcia_Ród_Baczński_SaS_100-149-2.pdf;PDF/Zdjęcia_Ród_Baczński_SaS_100-149-2.pdf;Zdjęcia i ikonografia;01_P / ikonografia;podłączone w lokalnej czytelni PDF
PDF_024;Zdjęcia_Ród_Baczński_SaS_150-199-2.pdf;PDF/Zdjęcia_Ród_Baczński_SaS_150-199-2.pdf;Zdjęcia i ikonografia;01_P / ikonografia;podłączone w lokalnej czytelni PDF
